,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
735,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/3/2015,,9/6/2015,2015,5354.375,RC79_2015_229,2
736,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/5/2015,,9/8/2015,2015,3622.833333,RC79_2015_237,2
737,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/7/2015,,9/10/2015,2015,4875,RC79_2015_257,2
738,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/9/2015,,9/12/2015,2015,4950.384615,RC79_2015_275,2
739,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/11/2015,,9/14/2015,2015,3432.5,RC79_2015_283,2
740,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/16/2015,,9/19/2015,2015,4783.680556,RC79_2015_311,2
741,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/22/2015,,9/25/2015,2015,5937.5,RC79_2015_361,2
742,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,5/27/2015,,9/30/2015,2015,6625,RC79_2015_385,2
743,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/1/2015,,10/5/2015,2015,2875,RC79_2015_417,2
744,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/6/2015,,10/10/2015,2015,2825,RC79_2015_431,2
745,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/8/2015,,10/12/2015,2015,4062.5,RC79_2015_434,2
746,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/11/2015,,10/15/2015,2015,5625,RC79_2015_441,2
747,RC,NA,NA,CASANARE,YOPAL,F68,Secano,6/13/2015,,10/17/2015,2015,4187.5,RC79_2015_507,2
748,RC,NA,NA,CASANARE,YOPAL,F68,SECANO,6/15/2015,,10/19/2015,2015,5172.5,RC79_2015_446,2
